GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
310M300US44300,44300,"State College, PA Metro Area",56466,1612
310M300US44420,44420,"Staunton-Waynesboro, VA Metro Area",54427,1975
310M300US44700,44700,"Stockton-Lodi, CA Metro Area",57813,863
310M300US44940,44940,"Sumter, SC Metro Area",41946,1164
310M300US45060,45060,"Syracuse, NY Metro Area",56305,704
310M300US45220,45220,"Tallahassee, FL Metro Area",48618,1000
310M300US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",50567,315
310M300US45460,45460,"Terre Haute, IN Metro Area",44120,1263
310M300US45500,45500,"Texarkana, TX-AR Metro Area",43753,1866
310M300US45540,45540,"The Villages, FL Metro Area",54771,2856
310M300US45780,45780,"Toledo, OH Metro Area",48284,731
310M300US45820,45820,"Topeka, KS Metro Area",55194,991
310M300US45940,45940,"Trenton, NJ Metro Area",77027,1571
310M300US46060,46060,"Tucson, AZ Metro Area",48676,534
310M300US46140,46140,"Tulsa, OK Metro Area",52210,376
310M300US46220,46220,"Tuscaloosa, AL Metro Area",48344,1004
310M300US46340,46340,"Tyler, TX Metro Area",50742,1276
310M300US46520,46520,"Urban Honolulu, HI Metro Area",80078,978
310M300US46540,46540,"Utica-Rome, NY Metro Area",50814,809
310M300US46660,46660,"Valdosta, GA Metro Area",38448,1642
310M300US46700,46700,"Vallejo-Fairfield, CA Metro Area",72950,1244
310M300US47020,47020,"Victoria, TX Metro Area",55837,2035
310M300US47220,47220,"Vineland-Bridgeton, NJ Metro Area",50000,1518
310M300US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",61889,440
310M300US47300,47300,"Visalia-Porterville, CA Metro Area",44871,1286
310M300US47380,47380,"Waco, TX Metro Area",45721,1167
310M300US47460,47460,"Walla Walla, WA Metro Area",52184,1978
310M300US47580,47580,"Warner Robins, GA Metro Area",52997,1838
310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",97148,502
310M300US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",53689,1310
310M300US48060,48060,"Watertown-Fort Drum, NY Metro Area",50322,1205
310M300US48140,48140,"Wausau, WI Metro Area",56509,1350
310M300US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",44576,1340
310M300US48300,48300,"Wenatchee, WA Metro Area",55236,1551
310M300US48540,48540,"Wheeling, WV-OH Metro Area",45625,1226
310M300US48620,48620,"Wichita, KS Metro Area",53953,805
310M300US48660,48660,"Wichita Falls, TX Metro Area",46558,1145
310M300US48700,48700,"Williamsport, PA Metro Area",50634,1359
310M300US48900,48900,"Wilmington, NC Metro Area",51137,868
310M300US49020,49020,"Winchester, VA-WV Metro Area",60350,1346
310M300US49180,49180,"Winston-Salem, NC Metro Area",47099,783
310M300US49340,49340,"Worcester, MA-CT Metro Area",68311,827
310M300US49420,49420,"Yakima, WA Metro Area",47470,1167
310M300US49620,49620,"York-Hanover, PA Metro Area",61707,624
310M300US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",44947,605
310M300US49700,49700,"Yuba City, CA Metro Area",53101,1533
310M300US49740,49740,"Yuma, AZ Metro Area",43253,1376
